Timestep,HO,H2O,O,H3O,H4O
544000,0,9,0,0,0
545000,0,9,0,0,0
546000,0,9,0,0,0
547000,0,9,0,0,0
548000,0,9,0,0,0
549000,0,9,0,0,0
550000,0,9,0,0,0
551000,0,9,0,0,0
552000,0,9,0,0,0
553000,0,9,0,0,0
554000,0,9,0,0,0
555000,0,9,0,0,0
556000,0,9,0,0,0
557000,0,9,0,0,0
558000,0,9,0,0,0
559000,0,9,0,0,0
560000,0,9,0,0,0
561000,0,9,0,0,0
562000,0,9,0,0,0
563000,0,9,0,0,0
564000,0,9,0,0,0
565000,0,9,0,0,0
566000,0,9,0,0,0
567000,0,9,0,0,0
568000,0,9,0,0,0
569000,0,9,0,0,0
570000,0,9,0,0,0
571000,0,9,0,0,0
572000,0,9,0,0,0
573000,0,9,0,0,0
574000,1,9,0,0,0
575000,0,9,0,0,0
576000,0,9,0,0,0
577000,0,9,0,0,0
578000,0,9,0,0,0
579000,0,9,0,0,0
580000,1,9,0,0,0
581000,0,9,0,0,0
582000,0,9,0,0,0
583000,0,9,0,0,0
584000,0,9,0,0,0
585000,0,9,0,0,0
586000,0,9,0,0,0
587000,1,9,0,0,0
588000,0,9,0,0,0
589000,0,9,0,0,0
590000,0,9,0,0,0
591000,1,9,0,0,0
592000,0,9,0,0,0
593000,0,9,0,0,0
594000,0,9,0,0,0
595000,0,9,0,0,0
596000,0,9,0,0,0
597000,0,9,0,0,0
598000,1,9,0,0,0
599000,0,9,0,0,0
600000,0,9,0,0,0
601000,0,9,0,0,0
602000,0,9,0,0,0
603000,0,9,0,0,0
604000,0,9,0,0,0
605000,0,9,0,0,0
606000,0,9,0,0,0
607000,1,9,0,0,0
608000,0,9,0,0,0
609000,0,9,0,0,0
610000,0,9,0,0,0
611000,0,9,0,0,0
612000,0,9,0,0,0
613000,0,9,0,0,0
614000,0,9,0,0,0
615000,0,9,0,0,0
616000,0,9,0,0,0
617000,0,9,0,0,0
618000,0,9,0,0,0
619000,0,9,0,0,0
620000,0,9,0,0,0
621000,0,9,0,0,0
622000,0,9,0,0,0
623000,0,9,0,0,0
624000,0,9,0,0,0
625000,0,9,0,0,0
626000,0,9,0,0,0
627000,0,9,0,0,0
628000,0,9,0,0,0
629000,0,9,0,0,0
630000,0,9,0,0,0
631000,1,9,0,0,0
632000,0,9,0,0,0
633000,1,9,0,0,0
634000,0,9,0,0,0
635000,0,9,0,0,0
636000,0,9,0,0,0
637000,0,9,0,0,0
638000,0,9,0,0,0
639000,0,9,0,0,0
640000,0,9,0,0,0
641000,0,9,0,0,0
642000,0,9,0,0,0
643000,0,9,0,0,0
644000,0,9,0,0,0
645000,0,9,0,0,0
646000,0,9,0,0,0
647000,0,9,0,0,0
648000,0,9,0,0,0
649000,0,9,0,0,0
650000,0,9,0,0,0
651000,0,9,0,0,0
652000,0,9,0,0,0
653000,0,9,0,0,0
654000,0,9,0,0,0
655000,1,9,0,0,0
656000,0,9,0,0,0
657000,0,9,0,0,0
658000,0,9,0,0,0
659000,0,9,0,0,0
660000,0,9,0,0,0
661000,0,9,0,0,0
662000,1,8,0,0,0
663000,1,8,0,0,0
664000,1,8,0,0,0
665000,1,8,0,0,0
666000,1,8,0,0,0
667000,1,8,0,0,0
668000,1,8,0,0,0
669000,1,8,0,0,0
670000,1,8,0,0,0
671000,1,8,0,0,0
672000,1,8,0,0,0
673000,1,8,0,0,0
674000,1,8,0,0,0
675000,2,8,0,0,0
676000,1,8,0,0,0
677000,1,8,0,0,0
678000,1,8,0,0,0
679000,1,8,0,0,0
680000,1,8,0,0,0
681000,1,8,0,0,0
682000,1,8,0,0,0
683000,1,8,0,0,0
684000,1,8,0,0,0
685000,1,8,0,0,0
686000,1,8,0,0,0
687000,1,8,0,0,0
688000,1,8,0,0,0
689000,1,8,0,0,0
690000,1,8,0,0,0
691000,0,8,0,0,0
692000,0,8,0,0,0
693000,0,8,0,0,0
694000,0,8,0,0,0
695000,0,8,0,0,0
696000,0,8,0,0,0
697000,0,8,0,0,0
698000,0,8,0,0,0
699000,0,8,0,0,0
700000,1,8,0,0,0
701000,0,8,0,0,0
702000,0,8,0,0,0
703000,0,8,0,0,0
704000,0,8,0,0,0
705000,0,8,0,0,0
706000,0,8,0,0,0
707000,0,8,0,0,0
708000,0,8,0,0,0
709000,0,8,0,0,0
710000,0,8,0,0,0
711000,0,8,0,0,0
712000,0,8,0,0,0
713000,0,8,0,0,0
714000,0,8,0,0,0
715000,0,8,0,0,0
716000,1,8,0,0,0
717000,0,8,0,0,0
718000,1,7,0,0,0
719000,1,7,0,0,0
720000,1,7,0,0,0
721000,1,7,0,0,0
722000,1,7,0,0,0
723000,1,7,0,0,0
724000,1,7,0,0,0
725000,1,7,0,0,0
726000,1,7,0,0,0
727000,1,7,0,0,0
728000,1,7,0,0,0
729000,1,7,0,0,0
730000,1,7,0,0,0
731000,1,7,0,0,0
732000,1,7,0,0,0
733000,1,7,0,0,0
734000,1,7,0,0,0
735000,1,7,0,0,0
736000,0,8,0,0,0
737000,0,8,0,0,0
738000,0,8,0,0,0
739000,0,8,0,0,0
740000,1,8,0,0,0
741000,0,8,0,0,0
742000,0,8,0,0,0
743000,0,7,0,0,0
744000,0,8,0,0,0
745000,0,8,0,0,0
746000,0,8,0,0,0
747000,0,8,0,0,0
748000,0,8,0,0,0
749000,0,8,0,0,0
750000,0,8,0,0,0
751000,1,8,0,0,0
752000,0,8,0,0,0
753000,1,8,0,0,0
754000,0,8,0,0,0
755000,1,8,0,0,0
756000,0,8,0,0,0
757000,0,8,0,0,0
758000,1,8,0,0,0
759000,0,8,0,0,0
760000,0,8,0,0,0
761000,0,8,0,0,0
762000,0,8,0,0,0
763000,0,8,0,0,0
764000,0,8,0,0,0
765000,0,8,0,0,0
766000,0,8,0,0,0
767000,0,8,0,0,0
768000,0,8,0,0,0
769000,0,8,0,0,0
770000,0,8,0,0,0
771000,0,8,0,0,0
772000,0,8,0,0,0
773000,1,8,0,0,0
774000,0,8,0,0,0
775000,0,8,0,0,0
776000,0,8,0,0,0
777000,0,8,0,0,0
778000,0,8,0,0,0
779000,0,8,0,0,0
780000,0,8,0,0,0
781000,0,8,0,0,0
782000,0,8,0,0,0
783000,0,8,0,0,0
784000,0,8,0,0,0
785000,0,8,0,0,0
786000,0,8,0,0,0
787000,0,8,0,0,0
788000,0,8,0,0,0
789000,0,8,0,0,0
790000,0,8,0,0,0
791000,0,8,0,0,0
792000,0,8,0,0,0
793000,0,8,0,0,0
794000,0,8,0,0,0
795000,0,8,0,0,0
796000,0,8,0,0,0
797000,0,8,0,0,0
798000,0,8,0,0,0
799000,0,8,0,0,0
800000,0,8,0,0,0
801000,0,8,0,0,0
802000,0,8,0,0,0
803000,0,8,0,0,0
804000,0,8,0,0,0
805000,0,8,0,0,0
806000,0,8,0,0,0
807000,0,8,0,0,0
808000,0,8,0,0,0
809000,0,8,0,0,0
810000,0,8,0,0,0
811000,0,8,0,0,0
812000,0,8,0,0,0
813000,0,8,0,0,0
814000,0,8,0,0,0
815000,0,8,0,0,0
816000,0,8,0,0,0
817000,0,8,0,0,0
818000,1,8,0,0,0
819000,0,8,0,0,0
820000,0,8,0,0,0
821000,0,8,0,0,0
822000,0,8,0,0,0
823000,1,8,0,0,0
824000,0,8,0,0,0
825000,0,8,0,0,0
826000,0,8,0,0,0
827000,0,8,0,0,0
828000,0,8,0,0,0
829000,1,8,0,0,0
830000,0,8,0,0,0
831000,1,8,0,0,0
832000,0,8,0,0,0
833000,0,8,0,0,0
834000,1,8,0,0,0
835000,0,8,0,0,0
836000,0,8,0,0,0
837000,0,8,0,0,0
838000,0,8,0,0,0
839000,0,8,0,0,0
840000,0,8,0,0,0
841000,1,8,0,0,0
842000,0,8,0,0,0
843000,0,8,0,0,0
844000,1,8,0,0,0
845000,0,8,0,0,0
846000,0,8,0,0,0
847000,0,8,0,0,0
848000,0,8,0,0,0
849000,2,8,0,0,0
850000,0,8,0,0,0
851000,1,8,0,0,0
852000,0,8,0,0,0
853000,0,8,0,0,0
854000,1,8,0,0,0
855000,0,8,0,0,0
856000,1,8,0,0,0
857000,0,8,0,0,0
858000,0,8,0,0,0
859000,0,8,0,0,0
860000,0,8,0,0,0
861000,0,8,0,0,0
862000,0,8,0,0,0
863000,0,8,0,0,0
864000,0,8,0,0,0
865000,0,8,0,0,0
866000,0,8,0,0,0
867000,1,8,0,0,0
868000,0,8,0,0,0
869000,0,8,0,0,0
870000,0,8,0,0,0
871000,0,8,0,0,0
872000,0,8,0,0,0
873000,0,8,0,0,0
874000,0,8,0,0,0
875000,0,8,0,0,0
876000,0,8,0,0,0
877000,0,8,0,0,0
878000,0,8,0,0,0
879000,0,8,0,0,0
880000,0,8,0,0,0
881000,0,8,0,0,0
882000,0,8,0,0,0
883000,0,8,0,0,0
884000,0,8,0,0,0
885000,0,8,0,0,0
886000,1,8,0,0,0
887000,1,8,0,0,0
888000,0,8,0,0,0
889000,0,8,0,0,0
890000,0,8,0,0,0
891000,0,8,0,0,0
892000,1,8,0,0,0
893000,1,8,0,0,0
894000,0,8,0,0,0
895000,1,8,0,0,0
896000,0,8,0,0,0
897000,0,8,0,0,0
898000,0,8,0,0,0
899000,0,8,0,0,0
900000,0,8,0,0,0
901000,0,8,0,0,0
902000,0,8,0,0,0
903000,0,8,0,0,0
904000,0,8,0,0,0
905000,0,8,0,0,0
906000,0,8,0,0,0
907000,0,8,0,0,0
908000,0,8,0,0,0
909000,0,8,0,0,0
910000,0,8,0,0,0
911000,0,8,0,0,0
912000,0,8,0,0,0
913000,0,8,0,0,0
914000,0,8,0,0,0
915000,0,8,0,0,0
916000,0,8,0,0,0
917000,0,8,0,0,0
918000,0,8,0,0,0
919000,0,8,0,0,0
920000,0,8,0,0,0
921000,0,8,0,0,0
922000,0,8,0,0,0
923000,0,8,0,0,0
924000,0,7,0,0,0
925000,0,8,0,0,0
926000,0,8,0,0,0
927000,0,8,0,0,0
928000,0,8,0,0,0
929000,0,8,0,0,0
930000,0,8,0,0,0
931000,0,8,0,0,0
932000,0,8,0,0,0
933000,1,8,0,0,0
934000,0,8,0,0,0
935000,0,8,0,0,0
936000,0,8,0,0,0
937000,0,8,0,0,0
938000,0,8,0,0,0
939000,0,8,0,0,0
940000,0,8,0,0,0
941000,0,8,0,0,0
942000,0,8,0,0,0
943000,0,8,0,0,0
944000,0,8,0,0,0
945000,0,8,0,0,0
946000,0,8,0,0,0
947000,0,8,0,0,0
948000,0,8,0,0,0
949000,1,8,0,0,0
950000,0,8,0,0,0
951000,0,8,0,0,0
952000,0,8,0,0,0
953000,0,8,0,0,0
954000,0,8,0,0,0
955000,0,8,0,0,0
956000,0,8,0,0,0
957000,0,8,0,0,0
958000,0,8,0,0,0
959000,0,8,0,0,0
960000,0,8,0,0,0
961000,0,8,0,0,0
962000,0,8,0,0,0
963000,0,8,0,0,0
964000,0,8,0,0,0
965000,0,8,0,0,0
966000,0,8,0,0,0
967000,0,8,0,0,0
968000,0,8,0,0,0
969000,2,8,0,0,0
970000,0,8,0,0,0
971000,0,8,0,0,0
972000,0,8,0,0,0
973000,0,8,0,0,0
974000,0,8,0,0,0
975000,0,8,0,0,0
976000,0,8,0,0,0
977000,0,8,0,0,0
978000,0,8,0,0,0
979000,0,8,0,0,0
980000,0,8,0,0,0
981000,0,8,0,0,0
982000,0,8,0,0,0
983000,0,8,0,0,0
984000,0,8,0,0,0
985000,0,8,0,0,0
986000,0,8,0,0,0
987000,0,8,0,0,0
988000,0,8,0,0,0
989000,0,8,0,0,0
990000,0,8,0,0,0
991000,0,8,0,0,0
992000,0,8,0,0,0
993000,0,8,0,0,0
994000,0,8,0,0,0
995000,0,8,0,0,0
996000,2,8,0,0,0
997000,0,8,0,0,0
998000,0,8,0,0,0
999000,0,8,0,0,0
1000000,0,8,0,0,0
1001000,0,8,0,0,0
1002000,1,8,0,0,0
1003000,1,8,0,0,0
1004000,0,8,0,0,0
1005000,0,8,0,0,0
1006000,0,8,0,0,0
1007000,0,8,0,0,0
1008000,0,8,0,0,0
1009000,0,8,0,0,0
1010000,0,8,0,0,0
1011000,0,8,0,0,0
1012000,0,8,0,0,0
1013000,0,8,0,0,0
1014000,0,8,0,0,0
1015000,0,8,0,0,0
1016000,0,8,0,0,0
1017000,0,8,0,0,0
1018000,0,8,0,0,0
1019000,0,8,0,0,0
1020000,0,8,0,0,0
1021000,0,8,0,0,0
1022000,0,8,0,0,0
1023000,0,8,0,0,0
1024000,0,8,0,0,0
1025000,0,8,0,0,0
1026000,0,8,0,0,0
1027000,0,8,0,0,0
1028000,0,8,0,0,0
1029000,0,8,0,0,0
1030000,0,8,0,0,0
1031000,0,8,0,0,0
1032000,0,8,0,0,0
1033000,0,8,0,0,0
1034000,0,8,0,0,0
1035000,0,8,0,0,0
1036000,0,8,0,0,0
1037000,0,8,0,0,0
1038000,0,8,0,0,0
1039000,0,8,0,0,0
1040000,0,8,0,0,0
1041000,0,8,0,0,0
1042000,0,8,0,0,0
1043000,0,8,0,0,0
1044000,0,8,0,0,0
1045000,0,8,0,0,0
1046000,0,8,0,0,0
1047000,0,8,0,0,0
1048000,0,8,0,0,0
1049000,0,8,0,0,0
1050000,0,8,0,0,0
1051000,0,8,0,0,0
1052000,0,8,0,0,0
1053000,0,8,0,0,0
1054000,0,8,0,0,0
1055000,0,8,0,0,0
1056000,0,8,0,0,0
1057000,0,8,0,0,0
1058000,1,8,0,0,0
1059000,0,8,0,0,0
1060000,0,8,0,0,0
1061000,0,8,0,0,0
1062000,0,8,0,0,0
1063000,0,8,0,0,0
1064000,0,8,0,0,0
1065000,0,8,0,0,0
1066000,0,8,0,0,0
1067000,0,8,0,0,0
1068000,0,8,0,0,0
1069000,0,8,0,0,0
1070000,0,8,0,0,0
1071000,0,8,0,0,0
1072000,0,8,0,0,0
1073000,0,8,0,0,0
1074000,0,8,0,0,0
1075000,0,8,0,0,0
1076000,0,8,0,0,0
1077000,0,8,0,0,0
1078000,0,8,0,0,0
1079000,0,8,0,0,0
1080000,0,8,0,0,0
1081000,0,8,0,0,0
1082000,0,8,0,0,0
1083000,0,8,0,0,0
1084000,0,8,0,0,0
1085000,0,8,0,0,0
1086000,0,8,0,0,0
1087000,0,8,0,0,0
1088000,0,8,0,0,0
1089000,0,8,0,0,0
1090000,0,7,0,0,0
1091000,0,8,0,0,0
1092000,0,8,0,0,0
1093000,0,8,0,0,0
1094000,0,8,0,0,0
1095000,0,8,0,0,0
1096000,0,8,0,0,0
1097000,1,8,0,0,0
1098000,0,8,0,0,0
1099000,0,8,0,0,0
1100000,0,8,0,0,0
1101000,0,8,0,0,0
1102000,0,8,0,0,0
1103000,0,8,0,0,0
1104000,0,8,0,0,0
1105000,0,8,0,0,0
1106000,0,8,0,0,0
1107000,0,8,0,0,0
1108000,0,8,0,0,0
1109000,0,8,0,0,0
1110000,0,8,0,0,0
1111000,0,8,0,0,0
1112000,0,8,0,0,0
1113000,0,8,0,0,0
1114000,0,8,0,0,0
1115000,0,8,0,0,0
1116000,0,8,0,0,0
1117000,0,8,0,0,0
1118000,0,8,0,0,0
1119000,0,8,0,0,0
1120000,0,8,0,0,0
1121000,0,8,0,0,0
1122000,0,8,0,0,0
1123000,0,8,0,0,0
1124000,0,8,0,0,0
1125000,0,8,0,0,0
1126000,0,8,0,0,0
1127000,0,8,0,0,0
1128000,0,8,0,0,0
1129000,0,8,0,0,0
1130000,0,8,0,0,0
1131000,0,8,0,0,0
1132000,0,8,0,0,0
1133000,0,8,0,0,0
1134000,0,8,0,0,0
1135000,0,8,0,0,0
1136000,0,8,0,0,0
1137000,0,8,0,0,0
1138000,0,8,0,0,0
1139000,0,8,0,0,0
1140000,0,8,0,0,0
1141000,0,8,0,0,0
1142000,0,8,0,0,0
1143000,0,8,0,0,0
1144000,0,8,0,0,0
1145000,0,8,0,0,0
1146000,0,8,0,0,0
1147000,0,8,0,0,0
1148000,0,8,0,0,0
1149000,0,8,0,0,0
1150000,0,8,0,0,0
1151000,0,8,0,0,0
1152000,0,8,0,0,0
1153000,0,8,0,0,0
1154000,0,8,0,0,0
1155000,0,8,0,0,0
1156000,1,8,0,0,0
1157000,0,8,0,0,0
1158000,0,8,0,0,0
1159000,0,8,0,0,0
1160000,0,8,0,0,0
1161000,0,8,0,0,0
1162000,0,8,0,0,0
1163000,0,8,0,0,0
1164000,0,8,0,0,0
1165000,0,8,0,0,0
1166000,0,8,0,0,0
1167000,0,8,0,0,0
1168000,0,8,0,0,0
1169000,0,8,0,0,0
1170000,0,8,0,0,0
1171000,0,8,0,0,0
1172000,0,8,0,0,0
1173000,0,8,0,0,0
1174000,0,8,0,0,0
1175000,0,8,0,0,0
1176000,0,8,0,0,0
1177000,0,8,0,0,0
1178000,0,8,0,0,0
1179000,0,8,0,0,0
1180000,0,8,0,0,0
1181000,0,8,0,0,0
1182000,0,8,0,0,0
1183000,0,8,0,0,0
1184000,0,8,0,0,0
1185000,0,8,0,0,0
1186000,0,8,0,0,0
1187000,0,8,0,0,0
1188000,0,8,0,0,0
1189000,0,8,0,0,0
1190000,0,8,0,0,0
1191000,0,8,0,0,0
1192000,0,8,0,0,0
1193000,0,8,0,0,0
1194000,0,8,0,0,0
1195000,0,8,0,0,0
1196000,0,8,0,0,0
1197000,0,8,0,0,0
1198000,0,8,0,0,0
1199000,0,8,0,0,0
1200000,0,8,0,0,0
1201000,1,8,0,0,0
1202000,0,8,0,0,0
1203000,0,8,0,0,0
1204000,0,8,0,0,0
1205000,0,8,0,0,0
1206000,0,8,0,0,0
1207000,1,8,0,0,0
1208000,1,8,0,0,0
1209000,0,8,0,0,0
1210000,0,8,0,0,0
1211000,0,8,0,0,0
1212000,0,8,0,0,0
1213000,0,8,0,0,0
1214000,0,8,0,0,0
1215000,0,8,0,0,0
1216000,0,8,0,0,0
1217000,0,8,0,0,0
1218000,0,8,0,0,0
1219000,0,8,0,0,0
1220000,0,8,0,0,0
1221000,0,8,0,0,0
1222000,0,8,0,0,0
1223000,0,8,0,0,0
1224000,0,8,0,0,0
1225000,0,8,0,0,0
1226000,0,8,0,0,0
1227000,0,8,0,0,0
1228000,0,8,0,0,0
1229000,0,8,0,0,0
1230000,1,8,0,0,0
1231000,0,8,0,0,0
1232000,0,8,0,0,0
1233000,0,8,0,0,0
1234000,0,8,0,0,0
1235000,0,8,0,0,0
1236000,0,8,0,0,0
1237000,0,8,0,0,0
1238000,0,8,0,0,0
1239000,0,8,0,0,0
1240000,0,8,0,0,0
1241000,0,8,0,0,0
1242000,0,8,0,0,0
1243000,0,8,0,0,0
1244000,0,8,0,0,0
1245000,0,8,0,0,0
1246000,0,8,0,0,0
1247000,0,8,0,0,0
1248000,0,8,0,0,0
1249000,0,8,0,0,0
1250000,1,8,0,0,0
1251000,1,7,0,0,0
1252000,0,8,0,0,0
1253000,0,8,0,0,0
1254000,0,8,0,0,0
1255000,1,8,0,0,0
1256000,0,8,0,0,0
1257000,0,8,0,0,0
1258000,0,8,0,0,0
1259000,0,8,0,0,0
1260000,0,8,0,0,0
1261000,0,8,0,0,0
1262000,0,8,0,0,0
1263000,0,8,0,0,0
1264000,0,8,0,0,0
1265000,0,8,0,0,0
1266000,0,8,0,0,0
1267000,0,8,0,0,0
1268000,0,8,0,0,0
1269000,0,8,0,0,0
1270000,0,8,0,0,0
1271000,0,8,0,0,0
1272000,0,8,0,0,0
1273000,0,8,0,0,0
1274000,0,8,0,0,0
1275000,0,8,0,0,0
1276000,0,8,0,0,0
1277000,0,8,0,0,0
1278000,0,8,0,0,0
1279000,0,8,0,0,0
1280000,0,8,0,0,0
1281000,0,8,0,0,0
1282000,0,8,0,0,0
1283000,0,8,0,0,0
1284000,0,8,0,0,0
1285000,0,7,0,0,0
1286000,0,8,0,0,0
1287000,0,8,0,0,0
1288000,0,8,0,0,0
1289000,0,8,0,0,0
1290000,0,8,0,0,0
1291000,0,8,0,0,0
1292000,0,8,0,0,0
1293000,0,8,0,0,0
1294000,0,8,0,0,0
1295000,0,8,0,0,0
1296000,0,8,0,0,0
1297000,0,8,0,0,0
1298000,0,8,0,0,0
1299000,0,8,0,0,0
1300000,0,8,0,0,0
1300027,0,8,0,0,0
1301000,0,8,0,0,0
1302000,0,8,0,0,0
1303000,0,8,0,0,0
1304000,0,8,0,0,0
1305000,0,8,0,0,0
1306000,0,8,0,0,0
1307000,0,8,0,0,0
1308000,0,8,0,0,0
1309000,0,8,0,0,0
1310000,0,8,0,0,0
1311000,0,8,0,0,0
1312000,0,8,0,0,0
1313000,1,8,0,0,0
1314000,0,8,0,0,0
1315000,0,8,0,0,0
1316000,0,8,0,0,0
1317000,0,8,0,0,0
1318000,0,8,0,0,0
1319000,0,8,0,0,0
1320000,0,8,0,0,0
1321000,0,8,0,0,0
1322000,0,8,0,0,0
1323000,0,8,0,0,0
1324000,0,8,0,0,0
1325000,0,8,0,0,0
1326000,0,8,0,0,0
1327000,0,8,0,0,0
1328000,0,8,0,0,0
1329000,0,8,0,0,0
1330000,0,8,0,0,0
1331000,0,8,0,0,0
1332000,0,8,0,0,0
1333000,0,8,0,0,0
1334000,0,8,0,0,0
1335000,0,8,0,0,0
1336000,0,8,0,0,0
1337000,0,8,0,0,0
1338000,0,8,0,0,0
1339000,0,8,0,0,0
1340000,0,8,0,0,0
1341000,0,8,0,0,0
1342000,0,8,0,0,0
1343000,0,8,0,0,0
1344000,0,8,0,0,0
